SECTOR,DATE,FACT,Value,Location,SOURCE,TAGS,Link
Health,2016,Global Malnutrition Rate (GAM) among Syrian Refugee children in Lebanon aged 0 to 59 months old ,2.30%,National,"VASYR 2016, UNICEF, UNHCR","Child Health, GAM, SAM, Nutrition",
Health,2016,Severe Acute Malnutrition Rate (SAM) among Syrian Refugee children in Lebanon aged 0 to 59 months old ,0.80%,National,"VASYR 2016, UNICEF, UNHCR","Child Health, GAM, SAM, Nutrition",
Health,2016,Stunting Prevalence among Syrian Refugee children in Lebanon aged 0 to 59 months,14.80%,National,"VASYR 2016, UNICEF, UNHCR","Stunting. Low height for age, nutrition, children",
Health,2016,Percentange of Syrian Refugee Children in Lebanon who are under weight (age 0 to 59 months,4.30%,National,"VASYR 2016, UNICEF, UNHCR","Under weight, malnutrition, children, Syrian refugees, Lebanon",
Food Security,2016,Percentage of Syrian refugees who reported having experienced a lack of food or money to buy food in the last 30 days,88%,National,VASYR 2016,"lack of food, food insecurity, money, economic vulnerability, coping",
Food Security,2015,Percentage of Syrian refugees who reported having experienced a lack of food or money to buy food in the last 30 days,89%,National,VASYR 2015,"lack of food, food insecurity, money, economic vulnerability, coping",
Food Security,2016,Percentage of Syrian Refugees who adopted food-related coping strategies to deal with the lack of food or money to buy food,95%,National,VASYR 2016,coping food insecurity economic vulnerability,
Food Security,2015,Percentage of Syrian Refugees who adopted food-related coping strategies to deal with the lack of food or money to buy food,98%,National,VASYR 2015,coping food insecurity economic vulnerability,
Food Security,2016,Percentage of Syrian Refugees relying on less preferred or cheaper food as coping strategy related to food consumption,92%,National,VASYR 2016,coping food insecurity economic vulnerability,
Food Security,2015,Percentage of Syrian Refugees relying on less preferred or cheaper food as coping strategy related to food consumption,96%,National,VASYR 2015,coping food insecurity economic vulnerability,
Food Security,2016,Percentage of Syrian Refugees who reduced the numbers of meals per day as a  coping strategy,58%,National,VASYR 2016,Meals per day; coping,
Food Security,2015,Percentage of Syrian Refugees who reduced the numbers of meals per day as a  coping strategy,57%,National,VASYR 2015,Meals per day; coping,
Food Security,2016,Percentage of Syrian Refugees  borrowing food from friends or relatives as a  coping strategy,52%,National,VASYR 2016,Debt; borrowing,
Food Security,2015,Percentage of Syrian Refugees  borrowing food from friends or relatives as a  coping strategy,38%,National,VASYR 2015,Debt; borrowing,
Food Security,2016,Percentage of Syrian Refugees  restricting adults’ consumption of food as a  coping strategy,33%,National,VASYR 2016,food insecurity,
Food Security,2015,Percentage of Syrian Refugees  restricting adults’ consumption of food as a  coping strategy,27%,National,VASYR 2015,food insecurity,
Basic Assistance,2016,Median debt among Syrian refugees in Lebanon,$600 ,National,VASYR 2016,Debt; borrowing,
Basic Assistance,2015,Median debt among Syrian refugees in Lebanon,$500 ,National,VASYR 2015,Debt; borrowing,
Livelihoods,2016,Percentage of Syrian refugees working-age adults (18-65 years old) worked in the last 30 days,36%,National,VASYR 2016,"employment, Work, labour",
Livelihoods,2016,Percentage of Syrian refugee women of working-age  (18-65 years old) worked in the last 30 days,7%,National,VASYR 2016,"employment, female; woman, Work, labour",
Livelihoods,2016,Percentage of Syrian refugee men of working-age  (18-65 years old) worked in the last 30 days,70%,National,VASYR 2016,"employment, male; men, man, Work, labour",
Livelihoods,2016,Percentage of children aged 15-17 years worked in the last 30 days,18%,National,VASYR 2016,"employment, jobs, Work, labour, youth, adolescents ",
Livelihoods,2016,Percentage of children aged 5-17 years worked in the last 30 days,5%,National,VASYR 2016,"employment, jobs, adolescents , Work, labour, child protection",
Livelihoods,2016,Percentage of individuals over age 65 who worked in the last 30 days,2%,National,VASYR 2016,"employment, jobs, Work, labour, elderly, old",
Livelihoods,2016,Average number of days worked in the last 30 days,14 days,National,VASYR 2016,"employment, jobs, Work, labour, working days",
Livelihoods,2016,Average number of days worked in the last 30 days (Women only),13 days,National,VASYR 2016,"employment, jobs, Women, female, Work, labour, working days",
Livelihoods,2016,Average number of days worked in the last 30 days (Men only),14 days,National,VASYR 2016,"employment, jobs, men, male, Work, labour, working days",
Livelihoods,2016,Average number of days worked in the last 30 days (Children only),16 days,National,VASYR 2016,"employment, jobs, Children, Work, labour, working days, child protection",
Livelihoods,2016,Percentage of 18-65 years old people who are involved in construction among those working,33%,National,VASYR 2016,"employment, jobs, Labour, construction work, manual labour, workers",
Livelihoods,2016,Percentage of 18-65 years old people who are involved in agricultural activities among those working,22%,National,VASYR 2016,"employment, jobs, Agriculture, land, workers",
Livelihoods,2016,Percentage of 18-65 years old people who are involved in retail/shops  activities among those working,6%,National,VASYR 2016,"employment, jobs, retails shops, malls, workers",
Livelihoods,2016,"Percentage of 18-65 years old people who are involved in services (working in hotels, restaurants, transportation, and personal services such as cleaning, hair care, cooking and child care. ) among those working",26%,National,VASYR 2016,"employment, Jobs, services, hotels, cooking, workers",
Livelihoods,2016,Percentage of 18-65 years old people who are involved in cleaning among those working,22%,National,VASYR 2016,"employment, jobs, cleaning,  land, workers",
Livelihoods,2016,Average income of Syrian refugee men in the last month,$215 ,National,VASYR 2016,"employment, men, male, jobs, income, work, worker, earning",
Livelihoods,2016,Average income of Syrian refugee women in the last month,$115 ,National,VASYR 2016,"employment, women, female, woman, jobs, income, work, worker, earning",
Livelihoods,2016,Percentage of households reporting not having a working age adult who had worked at least 1 day in the last 30 days,27%,National,VASYR 2016,"Work, worker, unemployment, employment",
Livelihoods,2016,Percentage of households who have income from permanent jobs (out of those who work),27%,National,VASYR 2016,"Employment, work, labour, jobs",
Livelihoods,2016,Percentage of households who have income from temporary sources/ jobs (out of those who work),65%,National,VASYR 2016,"Employment, work, labour, jobs",
Child Protection,2016,Percentage of children aged 5-14 years worked in the last 30 days,3%,National,VASYR 2016,"Work, labour, child protection, livelihood",
Inter-sectoral,2016,Lebanon Crisis Response Plan 2016 - Funding Requirements in USD,$2.48 billion,National,LCRP 2016,Lebanon Crisis Response Plan; Syrian Refugees,<a href=http://data.unhcr.org/syrianrefugees/download.php?id=10180>link</a>
Basic Assistance,2016,Syrian Refugee Households living below survival minimum expenditure basket (SMEB),53%,National,VASYR 2016,"Economic Vulnerability, Expenditure",
Basic Assistance,2016,Syrian Refugee Households living below minimum expenditure basket (MEB),71%,National,VASYR 2016,"Economic Vulnerability, Expenditure",
Basic Assistance,2015,Syrian Refugee Households living below survival minimum expenditure basket (SMEB),52%,National,VASYR 2015,"Economic Vulnerability, Expenditure",
Basic Assistance,2015,Syrian Refugee Households living below minimum expenditure basket (MEB),69%,National,VASYR 2015,"Economic Vulnerability, Expenditure",
Basic Assistance,2016,Average (Mean) Debt Mean of Syrian Refugee Households in USD,$857 ,National,VASYR 2016,Debt,
Basic Assistance,2015,Average (Mean) Debt Mean of Syrian Refugee Households in USD,$842 ,National,VASYR 2015,Debt,
Basic Assistance,2016,Percentage refugee households borrowed money in last 3 months,90%,National,VASYR 2016,Debt,
Basic Assistance,2016,Mean Per capita expenditures ,$104 ,National,VASYR 2016,Expenditure per capita,
Basic Assistance,2015,Mean Per capita expenditures ,$107 ,National,VASYR 2015,Expenditure per capita,
Food Security,2016,Percentage of monthly expenditure spent on Food ,44%,National,VASYR 2016,"Expenditure, Food",
Food Security,2015,Percentage of monthly expenditure spent on Food ,44%,National,VASYR 2015,"Expenditure, Food",
Shelter,2016,Percentage of monthly expenditure spent on rent ,17%,National,VASYR 2016,"Expenditure, rent",
Health,2016,Percentage of monthly expenditure spent on Health ,12%,National,VASYR 2016,"Expenditure, health",
Food Security,2016,Average estimation of per capita food consumed in the last 30 days,$47 ,National,VASYR 2016,Food Consumption capita,
Basic Assistance,2014,Lebanon Minimum Expenditure Basket (MEB),114 $/capita/month,National,Cash Working Group,Minimum Expenditure Basket MEB,<a href=http://data.unhcr.org/syrianrefugees/download.php?id=6327>link</a>
